Dependency=Geometry Building Type ACS	Dependency=PUMA	Option=<1940	Option=1940s	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Option=2010s	source_count	source_weight	sampling_probability
10 to 19 Unit	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	218	4889	3.58E-05
2 Unit	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	47	840	6.16E-06
20 to 49 Unit	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	153	4118	3.02E-05
3 or 4 Unit	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	168	3267	2.39E-05
5 to 9 Unit	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	256	5501	4.03E-05
50 or more Unit	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	297	5407	3.96E-05
Mobile Home	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20180	131	9.60E-07
Single-Family Attached	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	236	4348	3.19E-05
Single-Family Detached	"GA, 02002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1969	31245	0.000229005
10 to 19 Unit	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	341	9722	7.37E-05
2 Unit	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	32	534	4.05E-06
20 to 49 Unit	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	156	4325	3.28E-05
3 or 4 Unit	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	166	3601	2.73E-05
5 to 9 Unit	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	308	8406	6.37E-05
50 or more Unit	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	152	3856	2.92E-05
Mobile Home	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	256	1.94E-06
Single-Family Attached	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	210	4509	3.42E-05
Single-Family Detached	"GA, 02003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1939	34210	0.000259406
10 to 19 Unit	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	302	6200	4.49E-05
2 Unit	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	37	648	4.69E-06
20 to 49 Unit	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	238	6482	4.69E-05
3 or 4 Unit	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	125	2367	1.71E-05
5 to 9 Unit	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	300	5942	4.30E-05
50 or more Unit	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	432	10743	7.77E-05
Mobile Home	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	11	207	1.50E-06
Single-Family Attached	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	285	4740	3.43E-05
Single-Family Detached	"GA, 02004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1650	26891	0.000194558
10 to 19 Unit	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	1461	1.04E-05
2 Unit	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	29	871	6.22E-06
20 to 49 Unit	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	21	774	5.53E-06
3 or 4 Unit	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	26	742	5.30E-06
5 to 9 Unit	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	29	976	6.97E-06
50 or more Unit	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	1143	8.17E-06
Mobile Home	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	81	1781	1.27E-05
Single-Family Attached	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	50	1222	8.73E-06
Single-Family Detached	"GA, 02100"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2285	45656	0.000326278
10 to 19 Unit	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	27	515	3.83E-06
2 Unit	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	71	1220	9.06E-06
20 to 49 Unit	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	919	6.83E-06
3 or 4 Unit	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	66	1190	8.84E-06
5 to 9 Unit	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	45	936	6.95E-06
50 or more Unit	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	46	1426	1.06E-05
Mobile Home	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	345	6072	4.51E-05
Single-Family Attached	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	325	2.41E-06
Single-Family Detached	"GA, 02200"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1942	31124	0.000231173
10 to 19 Unit	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	35	1045	7.73E-06
2 Unit	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	37	821	6.07E-06
20 to 49 Unit	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	771	5.70E-06
3 or 4 Unit	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	55	1416	1.05E-05
5 to 9 Unit	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	49	1890	1.40E-05
50 or more Unit	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	15	405	2.99E-06
Mobile Home	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	236	5035	3.72E-05
Single-Family Attached	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	31	694	5.13E-06
Single-Family Detached	"GA, 02300"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1486	33297	0.000246185
10 to 19 Unit	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	651	4.76E-06
2 Unit	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	12	324	2.37E-06
20 to 49 Unit	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	411	3.00E-06
3 or 4 Unit	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	16	449	3.28E-06
5 to 9 Unit	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	39	1068	7.80E-06
50 or more Unit	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	33	820	5.99E-06
Mobile Home	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	51	1510	1.10E-05
Single-Family Attached	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	62	1419	1.04E-05
Single-Family Detached	"GA, 02400"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2007	35878	0.000262109
10 to 19 Unit	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	49	1072	7.99E-06
2 Unit	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	135	3552	2.65E-05
20 to 49 Unit	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	48	976	7.28E-06
3 or 4 Unit	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	94	2075	1.55E-05
5 to 9 Unit	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	70	1785	1.33E-05
50 or more Unit	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	64	1259	9.39E-06
Mobile Home	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	353	7238	5.40E-05
Single-Family Attached	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	52	1070	7.98E-06
Single-Family Detached	"GA, 02500"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2687	51061	0.000380687
10 to 19 Unit	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	37	973	7.22E-06
2 Unit	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	105	2646	1.96E-05
20 to 49 Unit	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	29	578	4.29E-06
3 or 4 Unit	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	74	1662	1.23E-05
5 to 9 Unit	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	69	1468	1.09E-05
50 or more Unit	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	388	2.88E-06
Mobile Home	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	491	10860	8.05E-05
Single-Family Attached	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	64	1255	9.31E-06
Single-Family Detached	"GA, 02600"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2939	56153	0.000416461
10 to 19 Unit	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	1542	1.15E-05
2 Unit	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	60	1333	9.92E-06
20 to 49 Unit	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	27	912	6.78E-06
3 or 4 Unit	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	69	1843	1.37E-05
5 to 9 Unit	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	71	1973	1.47E-05
50 or more Unit	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	300	2.23E-06
Mobile Home	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	263	6099	4.54E-05
Single-Family Attached	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	913	6.79E-06
Single-Family Detached	"GA, 02700"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1366	25124	0.000186901
10 to 19 Unit	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	54	1588	1.16E-05
2 Unit	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	51	965	7.07E-06
20 to 49 Unit	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	45	898	6.58E-06
3 or 4 Unit	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	89	1495	1.10E-05
5 to 9 Unit	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	69	1216	8.91E-06
50 or more Unit	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20	416	3.05E-06
Mobile Home	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	741	16591	0.000121581
Single-Family Attached	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	54	912	6.68E-06
Single-Family Detached	"GA, 02800"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3175	62982	0.000461542
10 to 19 Unit	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	1037	7.57E-06
2 Unit	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	30	988	7.21E-06
20 to 49 Unit	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	1093	7.97E-06
3 or 4 Unit	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	1008	7.35E-06
5 to 9 Unit	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	32	1130	8.24E-06
50 or more Unit	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	13	291	2.12E-06
Mobile Home	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	243	4714	3.44E-05
Single-Family Attached	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	54	1302	9.50E-06
Single-Family Detached	"GA, 02900"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1367	29524	0.000215411
10 to 19 Unit	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	355	10303	7.66E-05
2 Unit	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	41	869	6.46E-06
20 to 49 Unit	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	235	8008	5.95E-05
3 or 4 Unit	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	82	1796	1.34E-05
5 to 9 Unit	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	255	6613	4.92E-05
50 or more Unit	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	150	3590	2.67E-05
Mobile Home	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	32	840	6.25E-06
Single-Family Attached	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	351	8614	6.40E-05
Single-Family Detached	"GA, 03001"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1291	26149	0.000194412
10 to 19 Unit	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	93	3092	2.28E-05
2 Unit	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	4396	243	1.79E-06
20 to 49 Unit	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	53	2347	1.73E-05
3 or 4 Unit	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	18	388	2.86E-06
5 to 9 Unit	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	49	1277	9.42E-06
50 or more Unit	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	60	1505	1.11E-05
Mobile Home	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	881	6.50E-06
Single-Family Attached	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	139	3551	2.62E-05
Single-Family Detached	"GA, 03002"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1689	36958	0.000272753
10 to 19 Unit	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	618	4.45E-06
2 Unit	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	4396	187	1.35E-06
20 to 49 Unit	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	13	575	4.14E-06
3 or 4 Unit	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	18	532	3.83E-06
5 to 9 Unit	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	16	678	4.88E-06
50 or more Unit	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	530	3.81E-06
Mobile Home	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20180	249	1.79E-06
Single-Family Attached	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	84	1989	1.43E-05
Single-Family Detached	"GA, 03003"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	2022	43798	0.000315197
10 to 19 Unit	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	227	7354	5.31E-05
2 Unit	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	23	653	4.71E-06
20 to 49 Unit	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	123	4886	3.53E-05
3 or 4 Unit	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	99	2553	1.84E-05
5 to 9 Unit	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	228	6945	5.01E-05
50 or more Unit	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	148	3867	2.79E-05
Mobile Home	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	49	1606	1.16E-05
Single-Family Attached	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	438	11193	8.08E-05
Single-Family Detached	"GA, 03004"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1854	38880	0.000280529
10 to 19 Unit	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	1024	7.63E-06
2 Unit	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	4396	43	3.20E-07
20 to 49 Unit	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	17	449	3.35E-06
3 or 4 Unit	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	14	239	1.78E-06
5 to 9 Unit	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	26	595	4.43E-06
50 or more Unit	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	24	507	3.78E-06
Mobile Home	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	20180	204	1.52E-06
Single-Family Attached	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	102	1708	1.27E-05
Single-Family Detached	"GA, 03005"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	3094	51161	0.000381148
10 to 19 Unit	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	77	2401	1.67E-05
2 Unit	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	4396	354	2.46E-06
20 to 49 Unit	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	74	2505	1.74E-05
3 or 4 Unit	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	22	717	4.99E-06
5 to 9 Unit	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	34	1097	7.63E-06
50 or more Unit	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	59	1617	1.12E-05
Mobile Home	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	38	1205	8.38E-06
Single-Family Attached	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	118	3419	2.38E-05
Single-Family Detached	"GA, 03101"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	1171	32236	0.000224271
10 to 19 Unit	"GA, 03102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	7024	225	1.58E-06
2 Unit	"GA, 03102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	4396	64	4.50E-07
20 to 49 Unit	"GA, 03102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	4129	38	2.67E-07
3 or 4 Unit	"GA, 03102"	0.009402397	0.016750667	0.079390962	0.085129812	0.231544619	0.224386938	0.097962814	0.127715895	0.127715895	5685	86	6.05E-07
