Dependency=ASHRAE IECC Climate Zone 2004	Dependency=Geometry Building Type RECS	Dependency=Vintage ACS	Option=Vented Crawlspace	Option=Unvented Crawlspace	Option=Heated Basement	Option=Ambient	Option=Slab	Option=Unheated Basement	sampling_probability
6B	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	7.72E-05
6B	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	4.71E-05
6B	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.000261154
6B	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.000287834
6B	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.000154492
6B	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	9.70E-05
6B	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	6.90E-05
6B	Single-Family Attached	1940-59	0	0	0	0	0	1	1.79E-05
6B	Single-Family Attached	1960-79	0	0	1	0	0	0	6.06E-05
6B	Single-Family Attached	1980-99	0	0	1	0	0	0	0.000123601
6B	Single-Family Attached	2000-09	0	0	1	0	0	0	0.000107889
6B	Single-Family Attached	2010s	0	0	1	0	0	0	4.62E-05
6B	Single-Family Attached	<1940	0	0	0	0	0	1	2.00E-05
6B	Single-Family Detached	1940-59	0	0	0	0	0	1	0.000995965
6B	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00150608
6B	Single-Family Detached	1980-99	0	0	1	0	0	0	0.0015119
6B	Single-Family Detached	2000-09	0	0	1	0	0	0	0.0010718
6B	Single-Family Detached	2010s	0	0	1	0	0	0	0.000343582
6B	Single-Family Detached	<1940	0	0	0	0	0	1	0.000910847
7A	Mobile Home	1940-59	0	0	0	0	0	1	1.02E-05
7A	Mobile Home	1960-79	0	0	1	0	0	0	0.000190133
7A	Mobile Home	1980-99	0	0	1	0	0	0	0.000257185
7A	Mobile Home	2000-09	0	0	1	0	0	0	8.03E-05
7A	Mobile Home	2010s	0	0	1	0	0	0	3.14E-05
7A	Mobile Home	<1940	0	0	0	0	0	1	4.08E-06
7A	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	4.79E-05
7A	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	0.000102635
7A	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	6.34E-05
7A	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	2.95E-05
7A	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	1.63E-05
7A	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	9.21E-05
7A	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	6.21E-05
7A	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	0.000257392
7A	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	0.000277953
7A	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	0.000130545
7A	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	0.000172358
7A	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	7.71E-05
7A	Single-Family Attached	1940-59	0	0	0	0	0	1	1.24E-05
7A	Single-Family Attached	1960-79	0	0	1	0	0	0	3.82E-05
7A	Single-Family Attached	1980-99	0	0	1	0	0	0	6.71E-05
7A	Single-Family Attached	2000-09	0	0	1	0	0	0	6.16E-05
7A	Single-Family Attached	2010s	0	0	1	0	0	0	1.85E-05
7A	Single-Family Attached	<1940	0	0	0	0	0	1	1.16E-05
7A	Single-Family Detached	1940-59	0	0	0	0	0	1	0.00104592
7A	Single-Family Detached	1960-79	0	0	1	0	0	0	0.00139502
7A	Single-Family Detached	1980-99	0	0	1	0	0	0	0.00122639
7A	Single-Family Detached	2000-09	0	0	1	0	0	0	0.00077545
7A	Single-Family Detached	2010s	0	0	1	0	0	0	0.000240333
7A	Single-Family Detached	<1940	0	0	0	0	0	1	0.00115104
7B	Mobile Home	1940-59	0	0	0	0	0	1	2.26E-06
7B	Mobile Home	1960-79	0	0	1	0	0	0	3.36E-05
7B	Mobile Home	1980-99	0	0	1	0	0	0	3.63E-05
7B	Mobile Home	2000-09	0	0	1	0	0	0	1.25E-05
7B	Mobile Home	2010s	0	0	1	0	0	0	3.57E-06
7B	Mobile Home	<1940	0	0	0	0	0	1	1.43E-06
7B	Multi-Family with 2 - 4 Units	1940-59	0	0	0	0	0	1	3.00E-06
7B	Multi-Family with 2 - 4 Units	1960-79	0	0	1	0	0	0	1.60E-05
7B	Multi-Family with 2 - 4 Units	1980-99	0	0	1	0	0	0	2.87E-05
7B	Multi-Family with 2 - 4 Units	2000-09	0	0	1	0	0	0	9.81E-06
7B	Multi-Family with 2 - 4 Units	2010s	0	0	1	0	0	0	2.45E-06
7B	Multi-Family with 2 - 4 Units	<1940	0	0	0	0	0	1	5.01E-06
7B	Multi-Family with 5+ Units	1940-59	0	0	0	0	0	1	2.97E-06
7B	Multi-Family with 5+ Units	1960-79	0	0	1	0	0	0	7.86E-05
7B	Multi-Family with 5+ Units	1980-99	0	0	1	0	0	0	9.95E-05
7B	Multi-Family with 5+ Units	2000-09	0	0	1	0	0	0	3.64E-05
7B	Multi-Family with 5+ Units	2010s	0	0	1	0	0	0	5.96E-06
7B	Multi-Family with 5+ Units	<1940	0	0	0	0	0	1	4.64E-06
7B	Single-Family Attached	1940-59	0	0	0	0	0	1	1.65E-06
7B	Single-Family Attached	1960-79	0	0	1	0	0	0	1.37E-05
7B	Single-Family Attached	1980-99	0	0	1	0	0	0	3.78E-05
7B	Single-Family Attached	2000-09	0	0	1	0	0	0	2.17E-05
7B	Single-Family Attached	2010s	0	0	1	0	0	0	3.24E-06
7B	Single-Family Attached	<1940	0	0	0	0	0	1	2.35E-06
7B	Single-Family Detached	1940-59	0	0	0	0	0	1	6.37E-05
7B	Single-Family Detached	1960-79	0	0	1	0	0	0	0.000152118
7B	Single-Family Detached	1980-99	0	0	1	0	0	0	0.000223009
7B	Single-Family Detached	2000-09	0	0	1	0	0	0	0.000131026
7B	Single-Family Detached	2010s	0	0	1	0	0	0	2.46E-05
7B	Single-Family Detached	<1940	0	0	0	0	0	1	8.11E-05
# Created by: sources\recs\2009\tsv_maker.py (manually modified by Joe Robertson)									
# Source: The sample counts and sample weights are constructed using U.S. EIA 2009 Residential Energy Consumption Survey (RECS) microdata.									
# Assumption: All mobile homes have Ambient foundations.									
# Assumption: Multi-family buildings cannot have Ambient and Heated Basements									
# Assumption: Single-family attached buildings cannot have Ambient foundations									
# Assumption: Foundation types are the same for each building type except mobile homes and the applicable options.									
"# Assumption: Because we need to assume a foundation type for ground-floor MF units, we use the lumped SFD+SFA distributions for MF2-4 and MF5+ building foundations. (RECS data for households in MF2-4 unit buildings are not useful since we do not know which floor the unitis on. RECS does not include foundation responses for households in MF5+ unit buildings.)"									
"# Assumption: For SFD and SFA, if no foundation type specified, then sample has Ambient foundation."									
