Dependency=Census Division	Dependency=Geometry Building Type RECS	Dependency=Income RECS2020	Dependency=PUMA Metro Status	Dependency=Tenure	Dependency=Vintage ACS	Option=0-499	Option=500-749	Option=750-999	Option=1000-1499	Option=1500-1999	Option=2000-2499	Option=2500-2999	Option=3000-3999	Option=4000+	source_count	source_weight	sampling_probability
Middle Atlantic	Multi-Family with 2 - 4 Units	<20000	Not/partially in metro area	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.107667	3.26625	1.38E-05
Middle Atlantic	Multi-Family with 2 - 4 Units	<20000	Not/partially in metro area	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.0512404	39.7842	4.12E-06
Middle Atlantic	Multi-Family with 2 - 4 Units	<20000	Not/partially in metro area	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	3.14335	23954.7	0.000186604
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	3.80E-24	1.87E-41	4.86E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	4.22E-23	2.40E-40	9.52E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	1.96E-23	8.41E-41	7.09E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	5.49E-24	3.04E-41	3.09E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	6.01E-25	3.48E-42	1.70E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	1.54E-23	8.77E-41	3.92E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.436826	1541.66	9.80E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	4.84711	19752.1	0.000252086
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	2.25173	6918.34	0.000253893
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.630942	2504	0.00010363
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.0690631	286.63	0.000109124
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, not/partially in principal city"	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	1.76433	7217.69	8.04E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.783679	3069.08	0.000109774
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	2.1078	7564.55	0.000110121
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	1.07486	3528.97	4.04E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.217432	747.968	2.44E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.0265732	115.993	1.67E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	3.98905	16177.7	0.000170719
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	16.1336	52237.9	0.000320547
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	43.3931	128754	0.000306538
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	22.1281	60065.6	0.000136913
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	4.47627	12731	0.000124122
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.547061	1974.29	9.11E-05
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	"In metro area, principal city"	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	82.1224	275356	0.000665357
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.481031	13.3127	7.82E-07
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	0.366691	48.3505	1.34E-06
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	0.182719	20.1055	5.68E-07
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	1.45E-20	3.20E-39	3.72E-07
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.295201	9.47896	1.25E-07
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	0.843828	128.953	2.60E-07
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	2.62315	355.309	1.64E-06
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	1.99964	1290.45	5.31E-06
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	0.996402	536.605	6.12E-06
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	7.91E-20	8.55E-38	1.98E-06
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	1.60979	252.988	3.22E-06
Middle Atlantic	Multi-Family with 5+ Units	100000-149999	Not/partially in metro area	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	4.60155	3441.67	5.44E-06
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	4.94E-24	4.65E-42	4.31E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	5.48E-23	5.95E-41	8.50E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	2.55E-23	2.09E-41	8.49E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	7.14E-24	7.55E-42	5.60E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	7.81E-25	8.64E-43	3.80E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	2.00E-23	2.18E-41	6.45E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.567874	382.486	5.41E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	6.30124	4900.5	0.000131188
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	2.92725	1716.44	0.000154369
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.820224	621.243	0.000106804
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.089782	71.1128	8.97E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, not/partially in principal city"	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	2.29363	1790.71	4.54E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.991775	3959.76	0.000193575
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	2.66749	9759.88	0.000206186
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	1.36028	4553.13	0.000138181
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.275169	965.038	0.000108976
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.0336293	149.656	6.26E-05
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	5.04829	20872.7	0.000504227
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	20.4176	67398	0.000270723
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	54.9156	166120	0.000350451
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	28.004	77497.4	0.000236076
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	5.66489	16425.6	0.000248963
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.692326	2547.25	0.000169039
Middle Atlantic	Multi-Family with 5+ Units	150000+	"In metro area, principal city"	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	103.929	355268	0.000700569
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.446672	2.18E-19	3.85E-07
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	0.340499	7.93E-19	5.65E-07
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	0.169668	3.30E-19	1.00E-06
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	1.35E-20	5.25E-59	2.97E-07
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.274115	1.55E-19	9.20E-08
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	0.783554	2.11E-18	7.80E-07
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	2.43579	5.83E-18	1.10E-06
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	1.85681	2.12E-17	2.08E-06
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	0.92523	8.80E-18	2.25E-06
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	7.35E-20	1.40E-57	4.51E-07
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	1.4948	4.15E-18	3.55E-07
Middle Atlantic	Multi-Family with 5+ Units	150000+	Not/partially in metro area	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	4.27287	5.64E-17	2.63E-06
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	2.13E-23	9.68E-41	3.83E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	2.36E-22	1.24E-39	9.39E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	1.10E-22	4.34E-40	5.72E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	3.07E-23	1.57E-40	2.40E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	3.37E-24	1.80E-41	1.23E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	8.60E-23	4.53E-40	2.36E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	2.44623	7964.87	0.000349997
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	27.1438	102048	0.000819331
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	12.6097	35743.1	0.000549741
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	3.53327	12936.7	0.000220475
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.386753	1480.85	0.000117813
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, not/partially in principal city"	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	9.88025	37289.6	0.000337591
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	1.33713	4512.76	8.80E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	3.59635	11122.9	9.50E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	1.83395	5188.98	2.91E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	0.370986	1099.81	8.37E-06
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.0453395	170.556	6.65E-06
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	6.80618	23787.6	8.24E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	27.5273	76810.3	0.000660834
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	74.038	189319	0.000632856
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	37.7554	88320.2	0.000221338
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	7.63748	18719.5	0.000117101
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.933403	2902.98	7.69E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	"In metro area, principal city"	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	140.118	404883	0.0010453
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	0.721546	13.0468	3.39E-07
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	0.550037	47.3847	6.22E-07
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	0.274078	19.7039	8.05E-07
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	2.18E-20	3.14E-39	2.45E-07
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	0.442801	9.28961	1.04E-07
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	1.26574	126.377	6.82E-07
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	3.93473	348.211	2.92E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	2.99945	1264.67	6.31E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	1.4946	525.886	5.07E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Renter	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	1.19E-19	8.38E-38	1.63E-05
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Renter	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	2.41468	247.934	8.92E-06
Middle Atlantic	Multi-Family with 5+ Units	20000-39999	Not/partially in metro area	Renter	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	6.90233	3372.92	5.90E-05
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Owner	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	1.60E-23	7.80E-41	3.16E-05
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Owner	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	1.77E-22	9.99E-40	9.05E-05
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Owner	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	8.23E-23	3.50E-40	6.52E-05
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Owner	2000-09	0	0	0	0.195793117	0.282491169	0.113056068	0.205543123	0.126932076	0.076184446	2.31E-23	1.27E-40	2.31E-05
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Owner	2010s	0	0	0.11268418	0.247125395	0.128836206	0.144088231	0.176130282	0.08779054	0.103345165	2.52E-24	1.45E-41	1.19E-05
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Owner	<1940	0	0.017338793	0.054881178	0.334664866	0.316993873	0.133781946	0.093989162	0.027644989	0.020705192	6.45E-23	3.65E-40	2.36E-05
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Renter	1940-59	0	0.023612105	0.084637017	0.456402091	0.231165046	0.083448017	0.083024217	0.011046702	0.026664805	1.83467	6415.5	0.000233239
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Renter	1960-79	0	0.013220897	0.075203185	0.438430912	0.256063949	0.094326081	0.090824982	0.019177596	0.012752397	20.3578	82196.9	0.000576341
Middle Atlantic	Multi-Family with 5+ Units	40000-59999	"In metro area, not/partially in principal city"	Renter	1980-99	0	0.031722229	0.064239058	0.291880263	0.247177222	0.172605155	0.112603101	0.056473651	0.023299321	9.45728	28790.1	0.000392549
